色，戒,(2007),"
导演: 李安
编剧: 王蕙玲 / 詹姆斯·夏慕斯 / 张爱玲
主演: 梁朝伟 / 汤唯 / 陈冲 / 王力宏 / 庹宗华 / 朱芷莹 / 柯宇纶 / 阮德锵 / 高英轩 / 钱嘉乐 / 何赛飞 / 宋茹惠 / 苏岩 / 卢燕 / 樊光耀
类型: 剧情 / 爱情 / 情色
制片国家/地区: 台湾 / 美国 / 香港 / 中国大陆
语言: 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语
上映日期: 2007-11-01(中国大陆) / 2007-08-30(威尼斯电影节) / 2007-09-24(台湾)
片长: 158分钟 / 145分钟(中国大陆)
又名: 色|戒 / 色·戒 / 色戒 / Lust, Caution
IMDb链接: tt0808357
","

豆瓣评分

8.0




207771人评价




                    5星 
                

28.9%


                    4星 
                

44.5%


                    3星 
                

24.1%


                    2星 
                

2.1%


                    1星 
                

0.5%



            好于 85% 爱情片
            好于 98% 情色片

","
张爱玲
爱情
情色
台湾
文艺
剧情
人性
2007
","
284430人看过
                 / 
            52289人想看
","
            (
                全部 44110 条
            ) "
秒速5厘米 秒速5センチメートル,(2007),"
导演: 新海诚
编剧: 新海诚
主演: 水桥研二 / 近藤好美  / 尾上绫华 / 花村怜美 / 中村优子
类型: 剧情 / 爱情 / 动画
官方网站: www.cwfilms.jp/5cm/
制片国家/地区: 日本
语言: 日语
上映日期: 2007-03-03(日本)
片长: 63分钟
又名: 秒速五厘米 / 秒速5公分 / Byôsoku 5 senchimêtoru / 5 Centimeters per Second / 5 Centimeters Per Second: A Chain of Short Stories About Their Distance
IMDb链接: tt0983213
","

豆瓣评分

8.4




237609人评价




                    5星 
                

44.7%


                    4星 
                

35.9%


                    3星 
                

16.7%


                    2星 
                

2.1%


                    1星 
                

0.6%



            好于 84% 动画片
            好于 93% 爱情片

","
动画
新海诚
日本
爱情
青春
秒速5センチメートル
日本动画
秒速5cm
","
303172人看过
                 / 
            56668人想看
","
            (
                全部 72719 条
            ) "
我是传奇 I Am Legend,(2007),"
导演: 弗朗西斯·劳伦斯
编剧: 马克·波托塞维奇 / 阿齐瓦·高斯曼
主演: 威尔·史密斯 / 艾莉丝·布拉加 / Charlie Tahan / 达什·米霍克 / 莎莉·理查德森
类型: 剧情 / 科幻 / 惊悚 / 灾难
制片国家/地区: 美国
语言: 英语
上映日期: 2007-12-14(美国)
片长: 101分钟 / 104分钟
又名: 末日传奇 / 魔间传奇
IMDb链接: tt0480249
","

豆瓣评分

7.8




166364人评价




                    5星 
                

23.0%


                    4星 
                

48.2%


                    3星 
                

25.9%


                    2星 
                

2.5%


                    1星 
                

0.4%



            好于 83% 科幻片
            好于 65% 剧情片

","
科幻
威尔·史密斯
美国
WillSmith
美国电影
我是传奇
2007
科幻片
","
220856人看过
                 / 
            16739人想看
","
            (
                全部 27540 条
            ) "
谍影重重3 The Bourne Ultimatum,(2007),"
导演: 保罗·格林格拉斯
编剧: 托尼·吉尔罗伊 / 斯科特·Z·本恩斯
主演: 马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩 / 斯科特·格伦 / 帕迪·康斯戴恩 / 埃德加·拉米雷兹 / 阿尔伯特·芬尼 / 琼·艾伦 / Tom Gallop / 克里·约翰逊 / 丹尼尔·布鲁赫 / 乔伊·安沙 / 科林·斯廷顿 / 丹·弗雷登堡 / Lucy Liemann
类型: 动作 / 悬疑 / 冒险
制片国家/地区: 美国 / 德国
语言: 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语
上映日期: 2007-11-15(中国大陆) / 2007-08-03(美国)
片长: 115分钟
又名: 叛谍追击3：最后通牒(港) / 神鬼认证：最后通牒 (台) / 伯恩的最后通牒 / 终极伯恩
IMDb链接: tt0440963
","

豆瓣评分

8.7




154145人评价




                    5星 
                

47.9%


                    4星 
                

40.0%


                    3星 
                

11.4%


                    2星 
                

0.6%


                    1星 
                

0.1%



            好于 98% 动作片
            好于 98% 悬疑片

","
动作
美国
MattDamon
间谍
特工
悬疑
美国电影
谍影重重3
","
206252人看过
                 / 
            18418人想看
","
            (
                全部 24857 条
            ) "
这个男人来自地球 The Man from Earth,(2007),"
导演: 理查德·沙因克曼
编剧: 杰罗姆·比克斯比
主演: 大卫·李·史密斯 / 托尼·托德 / 约翰·比灵斯列 / 安妮卡·彼得森 / 阿丽西丝·索普 / 威廉姆·卡特 / 理查德·雷西尔 / 艾伦·克劳福德 / Steven Littles / Robbie Bryan
类型: 剧情 / 科幻
制片国家/地区: 美国
语言: 英语
上映日期: 2007-11-13(美国)
片长: 87 分钟
又名: 地球不死人(港) / 这个人来自洞穴 / 来自地穴的男人 / 穴居人 / 地底奇人 / 长生不老 / 来自地球的男人
IMDb链接: tt0756683
","

豆瓣评分

8.5




145417人评价




                    5星 
                

45.5%


                    4星 
                

36.6%


                    3星 
                

14.6%


                    2星 
                

2.4%


                    1星 
                

0.9%



            好于 95% 科幻片
            好于 90% 剧情片

","
科幻
美国
宗教
有思考价值
这个男人来自地球
剧情
美国电影
2007
","
178287人看过
                 / 
            55602人想看
","
            (
                全部 46681 条
            ) "
迷雾 The Mist,(2007),"
导演: 弗兰克·德拉邦特
编剧: 弗兰克·德拉邦特 / 斯蒂芬·金
主演: 托马斯·简 / 马西娅·盖伊·哈登 / 劳瑞·侯登 / 安德鲁·布劳尔 / 托比·琼斯 / 威廉姆·赛德勒 / 内森·甘宝
类型: 剧情 / 科幻 / 惊悚 / 灾难
制片国家/地区: 美国
语言: 英语
上映日期: 2007-11-21(美国)
片长: 126分钟
又名: 史蒂芬金之迷雾惊魂 / 雾地异煞 / 暮霭 / Stephen King's The Mist
IMDb链接: tt0884328
","

豆瓣评分

7.8




122331人评价




                    5星 
                

23.9%


                    4星 
                

46.6%


                    3星 
                

24.4%


                    2星 
                

3.8%


                    1星 
                

1.2%



            好于 87% 惊悚片
            好于 83% 科幻片

","
惊悚
人性
史蒂芬.金
美国
恐怖
悬疑
科幻
灾难
","
150297人看过
                 / 
            29592人想看
","
            (
                全部 39262 条
            ) "
老无所依 No Country for Old Men,(2007),"
导演: 伊桑·科恩 / 乔尔·科恩
编剧: 乔尔·科恩 / 伊桑·科恩 / 考麦克·麦卡锡
主演: 汤米·李·琼斯 / 哈维尔·巴登 / 乔什·布洛林 / 凯莉·麦克唐纳 / 伍迪·哈里森 / 加瑞特·迪拉胡特 / 泰丝·哈珀 / 巴里·柯宾 / 斯蒂芬·鲁特 / Rodger Boyce / 贝丝·格兰特 / Kit Gwin
类型: 剧情 / 惊悚 / 犯罪
制片国家/地区: 美国
语言: 英语 / 西班牙语
上映日期: 2007-05-19(戛纳电影节) / 2007-11-21(美国)
片长: 122 分钟
又名: 2百万夺命奇案(港) / 险路勿近(台)
IMDb链接: tt0477348
","

豆瓣评分

8.0




110826人评价




                    5星 
                

27.9%


                    4星 
                

46.3%


                    3星 
                

22.6%


                    2星 
                

2.6%


                    1星 
                

0.7%



            好于 86% 犯罪片
            好于 73% 剧情片

","
科恩兄弟
犯罪
美国
剧情
美国电影
惊悚
2007
电影
","
146566人看过
                 / 
            36984人想看
","
            (
                全部 26688 条
            ) "
变形金刚 Transformers,(2007),"
导演: 迈克尔·贝
编剧: 罗伯托·奥奇 / 艾里克斯·库兹曼
主演: 希亚·拉博夫 / 梅根·福克斯 / 乔什·杜哈明 / 伯尼·麦克 / 强·沃特 / 泰瑞斯·吉布森 / 瑞切尔·泰勒 / 约翰·特托罗 / 约翰·罗宾森
类型: 动作 / 科幻
官方网站: www.transformersmovie.com/
制片国家/地区: 美国
语言: 英语 / 西班牙语
上映日期: 2007-07-11(中国大陆) / 2007-07-03(美国)
片长: 144 分钟
又名: 变形金刚电影版
IMDb链接: tt0418279
","

豆瓣评分

8.1




212789人评价




                    5星 
                

30.6%


                    4星 
                

47.4%


                    3星 
                

19.8%


                    2星 
                

1.8%


                    1星 
                

0.5%



            好于 90% 科幻片
            好于 93% 动作片

","
科幻
变形金刚
美国
Transformers
美国电影
经典
动作
2007
","
287406人看过
                 / 
            9077人想看
","
            (
                全部 27126 条
            ) "
死寂 Dead Silence,(2007),"
导演: 温子仁
编剧: 雷·沃纳尔
主演: 唐尼·沃尔伯格 / 安贝·瓦莱塔 / 瑞恩·柯万腾 / 迈克尔·费尔曼 / 鲍勃·冈顿 / 劳拉·里根
类型: 悬疑 / 恐怖
制片国家/地区: 美国
语言: 英语
上映日期: 2007-03-16(美国)
片长: 89 分钟 / 92 分钟(未分级版)
又名: 寂静 / 死城 / 欢迎光临死亡小镇
IMDb链接: tt0455760
","

豆瓣评分

7.4




83320人评价




                    5星 
                

16.7%


                    4星 
                

43.9%


                    3星 
                

34.9%


                    2星 
                

3.9%


                    1星 
                

0.6%



            好于 91% 恐怖片
            好于 68% 悬疑片

","
恐怖
惊悚
美国
悬疑
死寂
美国电影
恐怖片
2007
","
104473人看过
                 / 
            16625人想看
","
            (
                全部 23628 条
            ) "
盲山,(2007),"
导演: 李杨
编剧: 李杨
主演: 黄璐 / 杨幼安 / 贺运乐
类型: 剧情
制片国家/地区: 中国大陆
语言: 四川话 / 陕西话
上映日期: 2007-10-25(香港)
片长: 95 分钟 / 102 分钟(韩国)
又名: 回家路 / Blind Mountain
IMDb链接: tt1020972
","

豆瓣评分

8.2




49789人评价




                    5星 
                

29.3%


                    4星 
                

51.2%


                    3星 
                

17.9%


                    2星 
                

1.4%


                    1星 
                

0.3%



            好于 80% 剧情片

","
人性
大陆
中国
2007
剧情
生活
犯罪
国产
","
64748人看过
                 / 
            20418人想看
","
            (
                全部 16983 条
            ) "
如月疑云 キサラギ,(2007),"
导演: 佐藤祐市
编剧: 古泽良太
主演: 小栗旬 / 中山裕介 / 小出惠介 / 塚地武雅 / 香川照之
类型: 喜剧 / 悬疑
官方网站: http://www.kisaragi-movie.com/
制片国家/地区: 日本
语言: 日语
上映日期: 2007-06-16
片长: 108分钟(日本)
又名: 二月如月 / 如月 / Kisaragi
IMDb链接: tt1158278
","

豆瓣评分

8.0




27956人评价




                    5星 
                

27.9%


                    4星 
                

49.2%


                    3星 
                

20.2%


                    2星 
                

2.0%


                    1星 
                

0.6%



            好于 86% 悬疑片
            好于 87% 喜剧片

","
日本
悬疑
日本电影
小栗旬
推理
香川照之
2007
小出恵介
","
32216人看过
                 / 
            15175人想看
","
            (
                全部 10344 条
            ) "
